epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2641,1.31279,5.18432,1.41866,0.92246,0.99169,0.98363,0.63944,1.17221,4.93242,1.33952,0.00026,0.00026,0.00026
2,20.2802,1.24324,2.02054,1.24383,0.8521,0.72057,0.85383,0.44546,1.38538,7.19091,1.6883,0.00053109,0.00053109,0.00053109
3,26.3359,1.25105,1.42654,1.25613,0.14854,0.625,0.173,0.0972,1.47873,9.93495,1.82255,0.00079294,0.00079294,0.00079294
4,32.8842,1.37202,1.35119,1.3852,0.11433,0.45833,0.14151,0.07581,1.48162,24.2209,2.24118,0.00104555,0.00104555,0.00104555
5,37.9807,1.4354,1.15718,1.39161,0.14412,0.20833,0.17081,0.08054,1.54701,18.0456,2.3464,0.00128892,0.00128892,0.00128892
6,44.1489,1.41319,1.1785,1.42815,0.07447,0.29167,0.04976,0.02803,1.63372,36.5749,3.85052,0.00152305,0.00152305,0.00152305
7,49.2049,1.34141,1.031,1.3946,0.19444,0.29167,0.16492,0.07786,1.38583,24.4124,2.26322,0.00174794,0.00174794,0.00174794
8,55.0309,1.39137,1.03892,1.34316,0.07883,0.45833,0.15212,0.09556,1.56005,19.7622,1.89861,0.001769,0.001769,0.001769
9,60.1768,1.33165,0.97939,1.36174,0.12386,0.29167,0.11463,0.06897,1.66617,10.5463,2.10682,0.001736,0.001736,0.001736
10,65.7103,1.26341,0.9144,1.31222,0.03768,0.79167,0.07898,0.0514,1.44354,40.6957,1.92717,0.001703,0.001703,0.001703
11,71.3323,1.26863,0.89933,1.30478,0.62193,0.68581,0.62654,0.3637,1.53906,6.715,1.85438,0.00167,0.00167,0.00167
12,76.556,1.30893,0.88943,1.33425,0.77732,0.79167,0.85294,0.51726,1.28966,5.55311,1.59915,0.001637,0.001637,0.001637
13,83.0582,1.25548,0.80873,1.23945,0.86948,0.95833,0.98144,0.60133,1.40754,1.9595,1.56141,0.001604,0.001604,0.001604
14,88.4153,1.23582,0.78524,1.24198,0.94655,0.91667,0.97695,0.63379,1.26513,2.4597,1.46502,0.001571,0.001571,0.001571
15,94.4189,1.27093,0.80048,1.29481,0.92802,0.79167,0.91822,0.62263,1.16877,1.4409,1.31562,0.001538,0.001538,0.001538
16,99.9695,1.2272,0.78754,1.29068,0.21414,0.75,0.38514,0.28048,1.12096,5.24755,1.3386,0.001505,0.001505,0.001505
17,105.481,1.21192,0.74971,1.22503,0.8625,0.91667,0.97056,0.60856,1.27061,1.124,1.43293,0.001472,0.001472,0.001472
18,110.877,1.22253,0.76024,1.25791,0.99027,1,0.995,0.69001,1.13311,0.62461,1.39884,0.001439,0.001439,0.001439
19,116.293,1.21937,0.75901,1.24987,0.01095,0.95833,0.01115,0.00732,1.20039,92.9485,1.31763,0.001406,0.001406,0.001406
20,122.401,1.16896,0.73378,1.23596,0.95174,1,0.995,0.6538,1.19209,0.69535,1.38539,0.001373,0.001373,0.001373
21,127.535,1.17445,0.72938,1.22849,0.99092,1,0.995,0.69849,1.1482,0.58974,1.28706,0.00134,0.00134,0.00134
22,133.571,1.12184,0.68457,1.19478,0.9487,1,0.9934,0.65919,1.27052,0.70612,1.44967,0.001307,0.001307,0.001307
23,138.769,1.26272,0.77315,1.26728,0.95329,1,0.985,0.63869,1.28439,0.62108,1.44633,0.001274,0.001274,0.001274
24,144.596,1.21359,0.72595,1.28175,0.95377,0.86001,0.93558,0.60018,1.22004,0.75163,1.4206,0.001241,0.001241,0.001241
25,149.785,1.14802,0.67747,1.22811,0.99561,1,0.995,0.67625,1.21553,0.59448,1.31914,0.001208,0.001208,0.001208
26,155.277,1.08953,0.68225,1.20446,0.81999,1,0.90193,0.55654,1.28131,0.83154,1.418,0.001175,0.001175,0.001175
27,160.88,1.16209,0.66207,1.23433,0.93264,0.95833,0.97651,0.58445,1.33954,0.89321,1.48559,0.001142,0.001142,0.001142
28,166.062,1.10511,0.65855,1.20692,0.95976,0.99412,0.965,0.59767,1.28723,0.72174,1.45453,0.001109,0.001109,0.001109
29,172.157,1.08916,0.63173,1.20871,1,0.99619,0.995,0.68077,1.16957,0.56531,1.31761,0.001076,0.001076,0.001076
30,177.305,1.12654,0.66694,1.21923,0.99156,0.95833,0.99192,0.6676,1.21456,0.65569,1.30055,0.001043,0.001043,0.001043
31,182.938,1.10383,0.64973,1.16943,0.98643,1,0.995,0.69151,1.15822,0.61734,1.2908,0.00101,0.00101,0.00101
32,188.425,1.10036,0.61191,1.21309,0.95516,1,0.9934,0.69776,1.13639,0.53826,1.29948,0.000977,0.000977,0.000977
33,193.538,1.04307,0.58884,1.15205,1,0.99188,0.995,0.70291,1.12184,0.56277,1.23823,0.000944,0.000944,0.000944
34,199.475,1.09293,0.59903,1.1564,0.93543,1,0.987,0.71646,1.12055,0.54694,1.33447,0.000911,0.000911,0.000911
35,204.868,1.06176,0.59933,1.19163,0.99725,1,0.995,0.73134,1.07546,0.46406,1.19518,0.000878,0.000878,0.000878
36,211.169,1.09136,0.62373,1.18635,0.99666,1,0.995,0.68876,1.09957,0.52309,1.24478,0.000845,0.000845,0.000845
37,216.412,1.02801,0.58933,1.17586,0.99349,1,0.995,0.70719,1.05793,0.49391,1.21097,0.000812,0.000812,0.000812
38,222.31,1.0333,0.55218,1.15473,0.99227,1,0.995,0.66346,1.15589,0.55675,1.2633,0.000779,0.000779,0.000779
39,227.781,1.0284,0.63376,1.16358,0.99565,1,0.995,0.68915,1.15342,0.51312,1.24734,0.000746,0.000746,0.000746
40,232.932,1.02895,0.56701,1.14792,0.99632,1,0.995,0.69747,1.13212,0.44345,1.24586,0.000713,0.000713,0.000713
41,238.816,1.007,0.5635,1.12205,0.99718,1,0.995,0.68105,1.13267,0.44391,1.21911,0.00068,0.00068,0.00068
42,243.838,1.0156,0.56816,1.13521,0.99607,1,0.995,0.71907,1.09077,0.45748,1.16857,0.000647,0.000647,0.000647
43,249.843,1.00196,0.53903,1.13684,0.98906,1,0.995,0.72515,1.10703,0.45778,1.19804,0.000614,0.000614,0.000614
44,254.979,0.95286,0.53911,1.10699,0.99693,1,0.995,0.70248,1.10042,0.49938,1.1742,0.000581,0.000581,0.000581
45,260.78,0.9698,0.52348,1.11725,0.99731,1,0.995,0.68496,1.15011,0.45555,1.2391,0.000548,0.000548,0.000548
46,266.192,0.99525,0.54183,1.12889,0.99647,1,0.995,0.71921,1.07822,0.44898,1.1698,0.000515,0.000515,0.000515
47,271.391,0.97154,0.54565,1.10416,0.99732,1,0.995,0.72142,1.0763,0.44685,1.16395,0.000482,0.000482,0.000482
48,277.563,0.98985,0.54233,1.10234,0.95655,1,0.9934,0.68903,1.13579,0.47821,1.19071,0.000449,0.000449,0.000449
49,282.806,0.94851,0.50615,1.08935,0.99765,1,0.995,0.69102,1.11484,0.44195,1.19625,0.000416,0.000416,0.000416
50,288.842,0.93157,0.49712,1.07983,0.99715,1,0.995,0.71208,1.14515,0.42798,1.23221,0.000383,0.000383,0.000383
51,296.505,0.91779,0.47237,1.09377,0.99732,1,0.995,0.71515,1.11931,0.43617,1.18276,0.00035,0.00035,0.00035
52,302.672,0.90882,0.47988,1.08429,0.99739,1,0.995,0.71874,1.1193,0.43675,1.1762,0.000317,0.000317,0.000317
53,307.715,0.91256,0.4793,1.08421,0.99739,1,0.995,0.70366,1.13225,0.44245,1.20538,0.000284,0.000284,0.000284
54,313.576,0.88288,0.46177,1.07463,0.99723,1,0.995,0.72158,1.10289,0.42571,1.18007,0.000251,0.000251,0.000251
55,318.694,0.90366,0.45141,1.09211,0.997,1,0.995,0.70598,1.12585,0.42724,1.202,0.000218,0.000218,0.000218
56,324.389,0.87574,0.43417,1.06324,0.99729,1,0.995,0.70789,1.13654,0.42142,1.20308,0.000185,0.000185,0.000185
57,330.005,0.87381,0.42273,1.05504,0.99722,1,0.995,0.74039,1.10403,0.41437,1.18036,0.000152,0.000152,0.000152
58,335.175,0.86339,0.43547,1.07963,0.99725,1,0.995,0.75054,1.07308,0.4165,1.15115,0.000119,0.000119,0.000119
59,341.169,0.88752,0.42944,1.07809,0.99725,1,0.995,0.73893,1.06663,0.41322,1.14512,8.6e-05,8.6e-05,8.6e-05
60,346.298,0.84746,0.43693,1.0402,0.99728,1,0.995,0.73627,1.07556,0.40295,1.15667,5.3e-05,5.3e-05,5.3e-05
