epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.4971,1.31795,4.95145,1.45157,0.92719,0.84902,0.88348,0.53861,1.31217,6.6083,1.48647,0.0003,0.0003,0.0003
2,24.7894,1.25529,1.8761,1.19964,0.77288,0.73333,0.7904,0.49237,1.45192,9.80779,1.57262,0.000611231,0.000611231,0.000611231
3,33.6474,1.31473,1.32379,1.28618,0.40654,0.6,0.37577,0.24551,1.47086,11.3736,1.75338,0.000913411,0.000913411,0.000913411
4,41.2921,1.32528,1.16679,1.2797,0.31957,0.82222,0.49786,0.30337,1.44717,9.45137,2.09347,0.00120654,0.00120654,0.00120654
5,48.889,1.3115,1.05372,1.30684,0.45387,0.22222,0.19746,0.10165,2.8628,6.23556,8.7015,0.00149062,0.00149062,0.00149062
6,56.4165,1.37364,1.04187,1.3364,0.00731,0.26667,0.00272,0.00098,3.15881,195.219,6.87048,0.00176564,0.00176564,0.00176564
7,63.3569,1.37357,0.96355,1.33142,0.05859,0.33333,0.0315,0.01645,2.60056,6.23022,3.31197,0.00183029,0.00183029,0.00183029
8,71.0816,1.30556,0.91852,1.30474,0.32282,0.26667,0.17218,0.10225,2.22825,2.93158,2.30322,0.001802,0.001802,0.001802
9,77.7762,1.30004,1.03741,1.29068,0.44325,0.72543,0.56451,0.32792,1.5673,3.52642,1.84264,0.00177371,0.00177371,0.00177371
10,85.4727,1.28895,0.87676,1.27636,0.52059,0.66667,0.58305,0.36577,1.52722,5.02306,1.84869,0.00174543,0.00174543,0.00174543
11,91.9647,1.27842,0.85898,1.25178,0.66323,0.66667,0.69953,0.46193,1.43863,3.53078,1.58497,0.00171714,0.00171714,0.00171714
12,99.8645,1.23802,0.82971,1.24957,0.63121,0.84444,0.69955,0.45273,1.43978,3.38942,1.53921,0.00168886,0.00168886,0.00168886
13,107.094,1.26966,0.83719,1.27197,0.9725,0.78595,0.91009,0.60795,1.44499,1.42944,1.62394,0.00166057,0.00166057,0.00166057
14,114.296,1.23289,0.76418,1.23403,0.78109,0.71369,0.81155,0.52635,1.36018,2.79722,1.57696,0.00163229,0.00163229,0.00163229
15,121.773,1.26584,0.75641,1.23115,0.8239,0.83189,0.91133,0.59976,1.35494,1.51971,1.58098,0.001604,0.001604,0.001604
